,COD,Conductivity,Dissolved O2(DO),Nitrate-N,pH,Potassium,Sodium,Sulphate,Temperature,Total Coliform,Total Dissolved Solids(TDS),Total Fixed Solids(TFS),Total Hardness as CaCo3,Turbidity
Unnamed: 44,14.4,194.0,7.2,0.6743548387096775,7.83,4.0,9.39,14.6,24.0,5000.0,161.0,112.0,56.0,14.8
Unnamed: 45,17.0,139.0,7.2,2.2,7.6,17.0,18.56,12.98,20.0,7000.0,87.0,54.0,66.0,26.6
Unnamed: 46,23.0,208.0,7.8,2.2,8.18,10.0,12.28,22.71,30.0,5000.0,82.0,74.0,70.0,8.92
Unnamed: 47,11.44,179.0,6.8,0.7,7.8,4.0,10.0,15.0,30.0,9000.0,382.0,288.0,68.8,251.0
Unnamed: 48,15.36,104.0,7.2,0.83,7.58,3.0,6.0,13.07,25.0,11000.0,80.0,100.0,60.9,383.0
Unnamed: 49,12.48,129.0,6.9,0.93,7.28,3.0,4.0,13.28,25.0,22000.0,98.0,100.0,52.5,75.5
Unnamed: 50,7.36,151.0,7.2,0.42,8.4,3.0,8.0,16.13,28.0,17000.0,107.0,84.0,58.8,12.4
Unnamed: 51,14.2,157.0,7.2,0.34,7.1,3.0,9.61,11.69,25.0,14000.0,94.0,48.0,54.6,16.8
Unnamed: 52,5.28,150.0,6.8,0.26,7.33,3.0,8.0,15.25,20.0,17000.0,130.0,76.0,65.0,8.37
Unnamed: 53,10.0,160.0,7.2,0.34,7.87,4.0,10.0,42.26,18.0,22000.0,89.0,12.0,66.0,5.06
Unnamed: 54,6.72,178.9,7.8,0.6,7.49,4.0,11.4,0.97,28.0,28000.0,130.0,88.0,92.0,18.9
Unnamed: 55,8.16,185.0,8.9,0.02,7.46,2.0,11.0,17.94,25.0,17000.0,136.0,74.0,56.0,11.2
Unnamed: 56,6.24,192.0,8.2,0.92,6.89,5.0,9.39,20.0,22.0,8000.0,108.0,12.0,66.0,11.1
Unnamed: 57,13.52,183.4,5.8,0.57,7.13,5.0,9.39,20.31,34.0,3000.0,150.0,166.0,62.0,52.7
Unnamed: 58,5.2,172.3,6.1,0.46,7.17,5.0,10.0,15.93,31.0,13000.0,124.0,120.0,52.0,8.98
Unnamed: 59,15.6,130.0,6.9,0.44,6.85,4.0,8.0,12.79,26.0,5000.0,124.0,1036.0,40.0,614.0
Unnamed: 60,42.0,172.3,6.3,0.58,7.27,3.0,5.0,10.48,28.0,8000.0,144.0,1112.0,56.0,658.0
Unnamed: 61,13.0,197.4,5.5,0.49,7.43,3.0,6.0,13.42,31.0,11000.0,98.0,134.0,60.0,57.7
Unnamed: 62,15.36,63.32,6.3,0.48,7.1,5.0,7.0,16.06,28.0,14000.0,125.0,198.0,52.0,60.2
Unnamed: 63,11.52,151.6,6.3,0.5,7.31,5.0,8.0,16.9,20.0,33000.0,85.0,90.0,66.0,16.0
Unnamed: 64,10.56,146.6,6.5,0.15,6.92,4.0,13.0,25.78,20.0,17000.0,126.0,102.0,52.0,5.36
Unnamed: 65,17.0,148.6,7.3,0.15,7.2,5.0,11.0,21.09,14.0,33000.0,129.0,128.0,78.0,4.23
Unnamed: 66,13.8,161.7,8.7,0.27,7.36,4.0,9.39,12.76,22.0,70000.0,149.0,142.0,60.0,30.7
Unnamed: 67,10.0,188.6,5.7,0.28,0.28,5.0,11.4,34.48,25.0,110000.0,187.0,184.0,82.0,24.6
Unnamed: 68,15.36,184.2,7.3,0.29,7.26,2.0,9.0,21.5,29.0,70000.0,154.0,118.0,62.0,28.8
Unnamed: 69,13.44,193.7,3.3,0.31,7.31,4.0,14.0,14.77,26.0,70000.0,110.0,54.0,90.0,5.63
Unnamed: 70,13.52,142.2,4.8,0.56,7.36,4.0,12.0,11.78,27.0,50000.0,101.0,312.0,60.0,189.0
Unnamed: 71,9.6,119.1,6.2,0.29,7.03,3.0,8.0,6.36,26.0,3300.0,46.0,232.0,40.0,147.0
Unnamed: 72,7.36,167.9,7.1,0.24,7.13,4.0,5.0,7.75,29.0,2100.0,83.0,142.0,36.0,97.2
Unnamed: 73,8.0,201.6,6.1,0.22,6.5,4.0,10.0,8.66,30.0,33000.0,136.0,236.0,66.0,128.0
Unnamed: 74,20.340078125,179.32954545454547,5.4,0.45,7.9,4.0,10.0,6.77,24.0,80000.0,248.0,176.0,68.0,185.0
Unnamed: 75,3.12,200.5,5.3,0.43,7.0,3.0,9.0,8.06,26.0,70000.0,137.0,70.0,52.0,17.6
